"role","subsample","event_date","mean_car","boot_se","lo","hi","n","metric"
"Treated","Full sample",-1,0.00118846853797461,0.000296907160124389,0.000634513192200477,0.00177941105409465,14847,"arith"
"Treated","Full sample",0,0.0071146034290744,0.000916370044808881,0.00545592523114963,0.00900728035632755,14847,"arith"
"Treated","Full sample",1,0.0104385499601603,0.00144152145778349,0.00772072602543217,0.0133763812122031,14847,"arith"
"Treated","Full sample",2,0.010500618189247,0.00161022280308943,0.00744148382699259,0.0136627273233443,14847,"arith"
"Treated","Full sample",3,0.00952809696946645,0.00181440551055387,0.00587298816597702,0.0127342442399327,14847,"arith"
"Treated","Full sample",4,0.0091676064690166,0.00178965017944586,0.00557078326604696,0.0124456778248752,14847,"arith"
"Treated","Full sample",5,0.00898639222128815,0.0018406803435607,0.00541628677726138,0.0124573465690732,14847,"arith"
"Treated","Full sample",6,0.00852241464968784,0.00191093949217123,0.00473695217110012,0.0121745334930032,14847,"arith"
"Treated","Full sample",7,0.00812930734727273,0.00195032417736446,0.00426746755315665,0.0118747740122803,14847,"arith"
"Treated","Full sample",8,0.00770209350932347,0.0019006485602411,0.00398715064567824,0.0112330246199003,14847,"arith"
"Treated","Full sample",9,0.00766287991569089,0.00221716433779219,0.00304301752948794,0.0117266422395471,14847,"arith"
"Treated","Full sample",10,0.00732386052711966,0.00221335909403414,0.00272624593570754,0.0113811540164677,14847,"arith"
"Treated","Full sample",11,0.00741575165636741,0.00226005017417026,0.00269741884950686,0.011499614109065,14847,"arith"
"Treated","Full sample",12,0.00676660135783396,0.00224819489376001,0.00199558211746261,0.0108763936857215,14847,"arith"
"Treated","Full sample",13,0.00628726292679241,0.00230517120037797,0.00138530743955459,0.0104846616972213,14847,"arith"
"Treated","Full sample",14,0.00638218216439215,0.00236339803208892,0.00145185603161262,0.0107723889217278,14847,"arith"
"Treated","Full sample",15,0.00588340616893687,0.00245739216058001,0.00074404778427357,0.0103493070521793,14847,"arith"
"Treated","Full sample",16,0.00483234799220717,0.0026380146902885,-0.000668694698769258,0.00971001503743717,14847,"arith"
"Treated","Full sample",17,0.00433567376043713,0.00265078114064905,-0.00120824136337669,0.00917302860345846,14847,"arith"
"Treated","Full sample",18,0.00411501591798126,0.00280272824663265,-0.00185127162036416,0.00917140837599168,14847,"arith"
"Treated","Full sample",19,0.00403191561726968,0.00287464023716259,-0.0020776736050386,0.00912574932380797,14847,"arith"
"Treated","Full sample",20,0.00331131466705351,0.00305498209277481,-0.00311167694943285,0.00865480112833028,14847,"arith"
"Treated","Full sample",21,0.00309145678637033,0.00315816617489043,-0.00365699046624351,0.0087505633132545,14847,"arith"
"Treated","Full sample",22,0.0025521166937432,0.00318532456889133,-0.00419778691841046,0.0083222195931293,14847,"arith"
"Treated","Full sample",23,0.00195299017450904,0.00326417991758255,-0.00522067992147427,0.00760224094368431,14847,"arith"
"Treated","Full sample",24,0.00142609785236207,0.0035853792741015,-0.00627599606632631,0.00769446370489987,14847,"arith"
"Treated","Full sample",25,0.00094888269663554,0.00359291673499772,-0.00674244492968746,0.00742868485796829,14847,"arith"
"Treated","Full sample",26,0.000393419862458817,0.00364028514971761,-0.00728855739492029,0.00679250470043481,14847,"arith"
"Treated","Full sample",27,-0.000493442578942351,0.00372055370322473,-0.00842891430073237,0.0059725992107998,14847,"arith"
"Treated","Full sample",28,-0.000854734588483413,0.00380052638089746,-0.00873892228456099,0.00589187473321706,14847,"arith"
"Treated","Full sample",29,-0.00122706511467438,0.00396897739330087,-0.00959229365422419,0.00571878162019068,14847,"arith"
"Treated","Full sample",30,-0.00133495466921773,0.00391461412565302,-0.0094825164251339,0.00553167397372752,14847,"arith"
"Treated","Full sample",31,-0.00169410783053996,0.00407172251199475,-0.0101973543065209,0.00549920770753092,14847,"arith"
"Treated","Full sample",32,-0.00209338764338265,0.00411460527709188,-0.0105058658649361,0.00520758658990768,14847,"arith"
"Treated","Full sample",33,-0.00259232920956134,0.00421957286580238,-0.0115171819796251,0.00487386034720644,14847,"arith"
"Treated","Full sample",34,-0.00318605990975607,0.00430001267467047,-0.0122787952256126,0.00441038909222395,14847,"arith"
"Treated","Full sample",35,-0.00363109179390778,0.00447213942481659,-0.0129469911448102,0.00431489334365449,14847,"arith"
"Treated","Full sample",36,-0.00418906600011636,0.00444994753009651,-0.0132634664101197,0.00366126284242216,14847,"arith"
"Treated","Full sample",37,-0.00478907661035165,0.0046409027993029,-0.0145920975749741,0.00339005063316478,14847,"arith"
"Treated","Full sample",38,-0.0055392551825397,0.00472525091926882,-0.0154651060448885,0.00283685525186342,14847,"arith"
"Treated","Full sample",39,-0.00571925238327579,0.00489375404448278,-0.0160760968926295,0.00286908334304951,14847,"arith"
"Treated","Full sample",40,-0.00633950810667584,0.00505489750302306,-0.0170531423639153,0.00247255201667597,14847,"arith"
"Treated","Full sample",41,-0.0072088805909635,0.00527782464451523,-0.0184853769322663,0.00204097479741762,14847,"arith"
"Treated","Full sample",42,-0.00751585912982139,0.00536591986615268,-0.0187706233998564,0.00192468871502337,14847,"arith"
"Treated","Full sample",43,-0.00806111428981872,0.00554459211664074,-0.019904042548797,0.00164084550069747,14847,"arith"
"Treated","Full sample",44,-0.00885252501256117,0.00567500372863903,-0.0207673085586316,0.00115193955060692,14847,"arith"
"Treated","Full sample",45,-0.00941607747683677,0.00576851656776087,-0.0214534821752935,0.000689869634334527,14847,"arith"
